Etjuhundur	Sporhundur
Krústa	Ör eftir bólu
Fornbæra	Kýr sem ber fyrir hálfu ári
Brautlaga	Það að flytja skip baðan sem það hefur legið um tíma
Glerkunta	Skegghjungur á unglingum
Mjanmarska	Burmneska, tungumál sem talað er í Burma
Birkibeinar	Uppreisnarmenn í liði Sverris konungs í Noregi á síðari hluta 12. aldar
Vorgugur	Óhreinn, t.d. að vera með vorgugar hendur
Kattmella	Sérstök lykkja notuð í útsaumi, einnig nefnd kappmella
Að ganga úr augnakörlunum	Að fara úr mjaðmarlið
Apafótur	Planta af burknaætt
Skuddi	Brennivínssopi
Snarla	Vír af spilkoppi í trissu á stýrishúsi
Ægisif	Afbökun á nafni Hagia Sophia, aðalkirkju Miklagarðs
Erkni	Eitthvað stórt og þungt
Milskinn	Að vera milskinn er að vera mildur eða mjúkur
Svefnskirr	Sá sem vaknar við minnstu ókyrrð er sagður vera svefnskirr
Flebba	Annað orð yfir daðurdrós eða glyðru
Ræsiskák	Svæði þar sem keppendur í skíðagöngu eru ræstir
Mítra	Íslenskt kvenmannsnafn. Árið 2010 báru það tvær konur á Íslandi.
Að vinna einhverjum stalldræpt hjarta	Að skjóta einhverjum skelk í bringu
Heytos	Hey sem geymt er utandyra
Fatahestur	Hestur sem ber farangur
Máki	Klunnaleg hönd
Ylbrá	Tíbrá, hillingar
Kratins	Vægt blótsyrði í líkingu við „skrattans" eða „árans"
Gaga	Að henda gaman að. Dæmi: „Systurnar göguðu bróður sinn oft."
Gjússa	Hlussa, feit kona
Síkoría	Matjurt með þykka beiska sprota sem borðaðir eru sem grænmeti
Benlogi	Skáldamál fyrir sverð
Heljarblý	Frumefnið plúton. Orðið myndað af „Hel", jafngildi rómverska guðsins Plútons, og „blý".
Þjokkubeinn	Viðurnefni sem merkir „hinn fótdigri"
Spruð	Stöng sem stendur fram úr stafni skips
Spík	Mjó spýta
Kirkjusár	Skírnarfontur
Ustur	Belti
Gotpískur	Lítill hákarl
Fruska	Kærulaus kona
Dimbiltá	Stúlka sem er létt á fæti
Blágagl	Fornt skáldlegt heiti á hrafni
Sperðl	Gróft band
Doggast	Að gera eitthvað umhugsunarlaust, eins og af vana
Síill	Trégrind með síuklút sem lögð var yfir strokk til að sía rjómann sem átti að strokka
Tufussulegur	Skapvondur
Bildör	Ör með sérstakt blað
Húnamengi	Ómerkilegur náungi
Tríkíni	Sníkjudýr sem er algengt í svínum
Sprakka	Allstór lúða
Berlingur	Dvergsheiti í norrænni goðafræði
